iter	Passed	Remaining
0	4	4401
1	6	3276
2	8	2875
3	11	2815
4	13	2662
5	15	2601
6	18	2566
7	20	2487
8	21	2405
9	24	2393
10	25	2335
11	27	2297
12	29	2277
13	31	2245
14	33	2215
15	35	2184
16	37	2163
17	39	2137
18	40	2112
19	42	2104
20	44	2087
21	46	2066
22	48	2046
23	50	2044
24	51	2024
25	53	2006
26	55	2007
27	57	1989
28	59	1990
29	61	1985
30	63	1972
31	64	1955
32	66	1941
33	67	1928
34	69	1915
35	71	1903
36	72	1895
37	75	1898
38	77	1903
39	79	1896
40	80	1888
41	82	1879
42	84	1872
43	85	1864
44	87	1857
45	89	1852
46	90	1844
47	92	1844
48	94	1837
49	96	1830
50	97	1822
51	99	1815
52	101	1807
53	103	1807
54	104	1803
55	106	1797
56	108	1792
57	110	1788
58	111	1782
59	113	1776
60	115	1771
61	116	1766
62	118	1761
63	119	1754
64	121	1748
65	123	1742
66	124	1739
67	126	1734
68	128	1730
69	129	1726
70	131	1721
71	133	1717
72	134	1713
73	136	1708
74	138	1704
75	139	1700
76	141	1696
77	143	1692
78	144	1688
79	146	1684
80	148	1680
81	149	1676
82	151	1671
83	152	1667
84	154	1663
85	156	1659
86	157	1656
87	159	1653
88	161	1649
89	162	1646
90	164	1642
91	166	1639
92	167	1636
93	169	1632
94	171	1629
95	172	1626
96	174	1623
97	175	1619
98	177	1615
99	179	1612
100	180	1609
101	182	1606
102	184	1603
103	185	1600
104	187	1597
105	189	1594
106	190	1591
107	192	1588
108	194	1586
109	195	1583
110	197	1579
111	198	1576
112	200	1573
113	201	1569
114	203	1566
115	205	1563
116	206	1560
117	208	1558
118	210	1555
119	211	1553
120	213	1550
121	215	1547
122	216	1545
123	218	1542
124	220	1540
125	221	1538
126	223	1535
127	225	1533
128	226	1530
129	228	1531
130	230	1531
131	232	1531
132	234	1529
133	236	1527
134	238	1525
135	239	1522
136	241	1519
137	242	1516
138	244	1513
139	246	1511
140	247	1508
141	249	1505
142	250	1502
143	252	1499
144	253	1497
145	255	1494
146	257	1492
147	258	1489
148	260	1486
149	261	1483
150	263	1481
151	265	1478
152	266	1475
153	268	1473
154	269	1471
155	271	1469
156	273	1466
157	274	1464
158	276	1462
159	278	1459
160	279	1457
161	281	1455
162	282	1452
163	284	1451
164	286	1449
165	288	1447
